"time_date","temperature","weather_con","comfort_feelslike","humidity","forecast","wind","humidity.1","location","visibility","pressure","dew_point"
2021-11-24 18:01:01, "29 °C", "Broken clouds.", "Feels Like: 34 °CForecast: 30 / 28 °CWind: 15 km/h <U+2191> from East", "74%", "Forecast: 30 / 28 °C", "Feels Like: 34 °CForecast: 30 / 28 °CWind: 15 km/h <U+2191> from East", "74%", "Madras / Minambakkam", "5 km", "1009 mbar", "24 °C"
2021-11-24 20:01:02, "28 °C", "Fog.", "Feels Like: 33 °CForecast: 30 / 28 °CWind: 7 km/h <U+2191> from Northeast", "84%", "Forecast: 30 / 28 °C", "Feels Like: 33 °CForecast: 30 / 28 °CWind: 7 km/h <U+2191> from Northeast", "84%", "Madras / Minambakkam", "5 km", "1010 mbar", "25 °C"
2021-11-24 21:01:01, "28 °C", "Fog.", "Feels Like: 33 °CForecast: 30 / 28 °CWind: 6 km/h <U+2191> from Northeast", "84%", "Forecast: 30 / 28 °C", "Feels Like: 33 °CForecast: 30 / 28 °CWind: 6 km/h <U+2191> from Northeast", "84%", "Madras / Minambakkam", "5 km", "1011 mbar", "25 °C"
2021-11-24 22:01:01, "28 °C", "Fog.", "Feels Like: 33 °CForecast: 30 / 28 °CWind: 4 km/h <U+2191> from North", "84%", "Forecast: 30 / 28 °C", "Feels Like: 33 °CForecast: 30 / 28 °CWind: 4 km/h <U+2191> from North", "84%", "Madras / Minambakkam", "5 km", "1011 mbar", "25 °C"
2021-11-25 08:03:04, "26 °C", "Rain. More clouds than sun.", "Feels Like: 28 °CForecast: 29 / 27 °CWind: 4 km/h <U+2191> from North", "100%", "Forecast: 29 / 27 °C", "Feels Like: 28 °CForecast: 29 / 27 °CWind: 4 km/h <U+2191> from North", "100%", "Madras / Minambakkam", "2 km", "1010 mbar", "26 °C"
2021-11-25 09:01:04, "28 °C", "Drizzle. Broken clouds.", "Feels Like: 35 °CForecast: 29 / 27 °CWind: 15 km/h <U+2191> from Northeast", "94%", "Forecast: 29 / 27 °C", "Feels Like: 35 °CForecast: 29 / 27 °CWind: 15 km/h <U+2191> from Northeast", "94%", "Madras / Minambakkam", "2 km", "1011 mbar", "27 °C"
2021-11-25 10:01:02, "28 °C", "Fog.", "Feels Like: 34 °CForecast: 29 / 27 °CWind: 11 km/h <U+2191> from Northeast", "89%", "Forecast: 29 / 27 °C", "Feels Like: 34 °CForecast: 29 / 27 °CWind: 11 km/h <U+2191> from Northeast", "89%", "Madras / Minambakkam", "2 km", "1012 mbar", "26 °C"
2021-11-25 11:01:01, "31 °C", "Scattered clouds.", "Feels Like: 38 °CForecast: 29 / 27 °CWind: 22 km/h <U+2191> from Northeast", "70%", "Forecast: 29 / 27 °C", "Feels Like: 38 °CForecast: 29 / 27 °CWind: 22 km/h <U+2191> from Northeast", "70%", "Madras / Minambakkam", "5 km", "1011 mbar", "25 °C"
2021-11-25 12:01:02, "31 °C", "Scattered clouds.", "Feels Like: 38 °CForecast: 29 / 27 °CWind: 24 km/h <U+2191> from Northeast", "70%", "Forecast: 29 / 27 °C", "Feels Like: 38 °CForecast: 29 / 27 °CWind: 24 km/h <U+2191> from Northeast", "70%", "Madras / Minambakkam", "5 km", "1010 mbar", "25 °C"
2021-11-25 13:01:01, "28 °C", "Rain. Broken clouds.", "Feels Like: 33 °CForecast: 29 / 27 °CWind: 22 km/h <U+2191> from East", "84%", "Forecast: 29 / 27 °C", "Feels Like: 33 °CForecast: 29 / 27 °CWind: 22 km/h <U+2191> from East", "84%", "Madras / Minambakkam", "2 km", "1009 mbar", "25 °C"
